"","ID","site","clone","clone.new","row","col","F1","F2","F23","F24","F24.segment_L","F24.segment_P","F24.segment","X24.GCC","X24.RCC","F25","F25.segment_P","F25.segment_L","F25.segment","X25.GCC","X25.RCC"
"518","L1x1","L","90","90","1","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.137940395,0.067032336,0.102486366,0.432709646,0.350550793
"555","L2x1","L","70","79","2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.374907561,0.533656181,0.454281871,0.464062139,0.357670341
"592","L3x1","L","31","49","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.048565443,0.040223223,0.044394333,0.416293557,0.350563021
"629","L4x1","L","93",NA,"4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666","L5x1","L","74","74","5","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.349847882,0.245273174,0.297560528,0.456364893,0.341736465
"703","L6x1","L","33","33","6","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.294358815,0.368712195,0.331535505,0.46354099,0.346560416
"740","L7x1","L","93","92","7","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.205442758,0.11253418,0.158988469,0.430076334,0.347951781
"777","L8x1","L","33","49","8","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.053777014,0.068000815,0.060888915,0.42706072,0.334463151
"814","L9x1","L","70","90","9","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.149669771,0.046060775,0.097865273,0.449288439,0.333095935
"851","L10x1","L","74","87","10","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.472942302,0.501651693,0.487296997,0.458719249,0.328405131
"519","L1x2","L","43","43","1","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.212836802,0.079481538,0.14615917,0.433767168,0.353155886
"556","L2x2","L","80","80","2","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.048565443,0.302098305,0.175331874,0.426201664,0.350677955
"593","L3x2","L","92","92","3","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.158521808,0.095014419,0.126768114,0.427678771,0.348156171
"630","L4x2","L","43","unique_genotyp_3","4","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.297849612,0.349540806,0.323695209,0.45892103,0.357657771
"667","L5x2","L","73","73","5","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.309494062,0.247222878,0.27835847,0.455176841,0.346653572
"704","L6x2","L","55","31","6","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.365152149,0.440295639,0.402723894,0.466787636,0.344253774
"741","L7x2","L","72","72","7","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.240635608,0.106645366,0.173640487,0.452660488,0.352146629
"778","L8x2","L","79","84","8","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.160087076,0.234862848,0.197474962,0.450492113,0.337480687
"815","L9x2","L","69","69","9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.381658551,0.314252832,0.347955691,0.472157698,0.329453677
"852","L10x2","L","27","65","10","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.414301428,0.466765326,0.440533377,0.478722082,0.336074689
"520","L1x3","L","49","49","1","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.120940909,0.104392066,0.112666488,0.436713577,0.349649363
"557","L2x3","L","57","L4","2","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.374907561,0.104433012,0.239670287,0.445461049,0.352759728
"594","L3x3","L","41","L2","3","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.361049589,0.25317413,0.307111859,0.457054186,0.354867959
"631","L4x3","L","53","54","4","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.473292429,0.484769212,0.47903082,0.468018684,0.333968481
"668","L5x3","L","69","69","5","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.374440708,0.24892448,0.311682594,0.460264359,0.338233516
"705","L6x3","L","28","28","6","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.452499855,0.529484728,0.490992291,0.470042992,0.343448404
"742","L7x3","L","50","L5","7","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.454023732,0.250237752,0.352130742,0.452483082,0.347440851
"779","L8x3","L","52","93","8","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.543780868,0.456377364,0.500079116,0.486184814,0.341827407
"816","L9x3","L","24","33","9","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.543857968,0.31646574,0.430161854,0.481099356,0.334835435
"853","L10x3","L","68","65","10","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,5,0.371529272,0.621783885,0.496656578,0.468053002,0.334769974
"521","L1x4","L","56","55","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.478436447,0.349267092,0.413851769,0.468929438,0.350934086
"558","L2x4","L","52","54","2","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.1665914,0.416777823,0.291684612,0.451806994,0.344435755
"595","L3x4","L","60",NA,"3","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","L4x4","L","50","50","4","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.062509348,0.133166544,0.097837946,0.426874594,0.346038182
"669","L5x4","L","87","87","5","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,0.573651532,0.386584446,0.480117989,0.466520607,0.33708569
"706","L6x4","L","94","94","6","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0.202104272,0.391857425,0.296980848,0.441555943,0.339795384
